sample_id,symbol,timeframe,candle_ts,setup_type,side,ema_alignment,rsi,stoch_rsi,macd_hist,volume_ratio,volume_trend,atr_pct,market_structure,distance_support,distance_resistance,change_pct,position_in_period_range,ema9,price_vs_ema9,ema21,price_vs_ema21,ema50,price_vs_ema50,ema200,price_vs_ema200,ema50_vs_ema200,macd_line,macd_signal,macd_cross,bb_width_pct,bb_position,obv_trend,candle_type,engulfing,last_3_candles,result_r
BTCUSDT_minute15_1782119700_trend_pullback,BTCUSDT,minute15,1782119700,trend_pullback,LONG,1.0,47.79,22.87,-10.77230847,0.8223528216347971,0.0,0.002684041326621886,ranging,0.11162696971223529,0.3410104884432466,-0.10617997029765518,61.035025329702776,64186.269534301784,-0.11052135420313136,64175.61189011914,-0.09393270799248316,64132.24959044315,-0.026382343596549115,64008.93723986078,0.16621547666154007,1.0,20.50811854,31.28042701,0,0.6135823286921026,33.051592776428386,-1,bear,bearish_engulfing,bear → bull → bear,2.0
BTCUSDT_minute15_1781951400_trend_pullback,BTCUSDT,minute15,1781951400,trend_pullback,LONG,1.0,50.32,42.04,-3.01140916,0.8797132910297297,-1.0,0.0016998674465111474,ranging,0.004653973164497554,0.29419085094912056,-0.12239415786962295,54.739240084407804,63632.2786712661,-0.04825958131210344,63612.39939606501,-0.017024033313985595,63511.749692602825,0.14142313482450916,63502.55470516079,0.1559233251306761,1.0,28.23355222,31.24496138,-1,0.6700412169692598,40.918965890108524,-1,marubozu_bear,,bear → bear → bear,-1.0
BTCUSDT_minute15_1781109900_trend_pullback,BTCUSDT,minute15,1781109900,trend_pullback,LONG,1.0,57.14,3.5,11.41840047,0.7015745219709142,0.0,0.005440316412753779,ranging,0.4732943083828216,0.35888404755506553,-0.011264581888761468,60.69120539477384,62228.87261941663,-0.008730062409860812,62010.31355155484,0.3436951633343522,61782.56880176443,0.7135850884578042,62026.301287943905,0.3178308362140168,-1.0,232.74274806,221.32434759,0,2.576454534976591,64.78273557090911,-1.0,doji,,bear → bear → bear,-1.0
BTCUSDT_minute15_1781614800_bb_squeeze_breakout,BTCUSDT,minute15,1781614800,bb_squeeze_breakout,SHORT,0.0,39.6,0.0,-42.46125197,2.224493428492205,1.0,0.0029362923772276706,ranging,,0.14983425340929127,-0.3348240999287784,86.66079275720006,66447.77629652302,-0.36312170244234604,66467.04299356502,-0.3920032873889656,66406.98415941115,-0.30191727865529083,65828.6372270615,0.5739945240476254,1.0,9.04930019,51.51055216,0,0.8388778082932357,-13.05884749964266,-1,bear,,bear → bear → bear,2.6667
BTCUSDT_minute15_1781278200_trend_pullback,BTCUSDT,minute15,1781278200,trend_pullback,LONG,1.0,55.89,61.58,64.61032613,1.4982842090381578,1.0,0.004013293044234261,ranging,0.031139427647933336,0.0768940439507193,-0.3577577933742494,90.78451928620221,63832.59614122243,0.11518231001432487,63689.719523258325,0.3397730094613649,63568.31775022716,0.5314003291704823,63042.223387300124,1.3703460415609496,1.0,117.5468278,52.93650168,0,1.8460057953087436,71.03706939947668,1,marubozu_bear,,bull → bear → bear,2.0
BTCUSDT_minute15_1782120600_trend_pullback,BTCUSDT,minute15,1782120600,trend_pullback,LONG,1.0,48.36,27.72,-13.60350208,0.6924802821333824,-1.0,0.00263882683645289,ranging,0.13089507342380133,0.3216550726129334,0.019293357766380276,61.186611407802026,64174.555627441434,-0.07301278050673568,64171.25626374467,-0.06787503670748508,64132.071175131656,-0.006815895778138653,64010.11895886715,0.1836913335661926,1.0,14.27604941,27.87955149,0,0.5335868639670973,31.694193409587907,1,doji,,bull → bear → bull,2.0
BTCUSDT_minute15_1781279100_trend_pullback,BTCUSDT,minute15,1781279100,trend_pullback,LONG,1.0,48.76,41.02,33.04409713,1.1172683532222185,1.0,0.00417534219220728,ranging,0.01232801514709965,0.03265980543436531,-0.4868547801055746,84.86480727116358,63785.07491297794,-0.29800844984077923,63681.10774841665,-0.13523280524088535,63569.36372080649,0.040312310354492696,63047.723552600626,0.8680193614647929,1.0,94.24162309,61.19752596,0,1.847133610076854,45.01160014496138,1,marubozu_bear,,bear → bear → bear,2.0
BTCUSDT_minute15_1781952300_trend_pullback,BTCUSDT,minute15,1781952300,trend_pullback,LONG,1.0,54.48,70.76,-0.95323971,0.3646532578974852,-1.0,0.0016639151142263655,ranging,0.1225253283661475,0.17596722690884067,0.11801595463759414,55.65905019129005,63641.148937012884,0.055751763724803234,63618.23854187728,0.09178414784979913,63518.215587010556,0.24939997373263248,63504.286797646746,0.27138829682855026,1.0,30.05341175,31.00665145,0,0.6699011200124744,58.53840686955867,-1,marubozu_bull,,bear → bear → bull,-1.0
BTCUSDT_minute15_1781110800_trend_pullback,BTCUSDT,minute15,1781110800,trend_pullback,LONG,1.0,53.82,0.0,-9.60393193,0.8248722024893617,-1.0,0.005459283620647868,ranging,0.26950080270495796,0.5643815435672552,-0.2043442149775092,58.192860805954375,62202.35609553331,-0.17051781024243923,62018.12959232258,0.12602832138152636,61794.8715938521,0.48777252605844157,62026.99769303899,0.1117131403069471,-1.0,209.31943268,218.92336461,-1,2.290233898233743,54.47777843653171,-1.0,bear,,bear → bear → bear,-1.0
BTCUSDT_minute15_1781953200_trend_pullback,BTCUSDT,minute15,1781953200,trend_pullback,LONG,1.0,54.03,72.27,-0.33882488,1.4232437083006078,-1.0,0.0016496328741352438,ranging,0.11163867768164372,0.18688641329963748,-0.010898817980780472,55.574005132113946,63646.85714961031,0.035874277870500765,63622.915947161164,0.07351761883671663,63524.15576006896,0.22910062824088975,63505.93260065524,0.25786157708213275,1.0,30.58312036,30.92194524,0,0.668846702523257,57.04248803717413,-1,doji,,bear → bull → bear,-1.0
